FILMID,COMPANYID
49026,923
49026,9993
49026,174
442062,5
442062,333
442062,30246
442062,105645
442062,34
49051,174
49051,11
49051,12
49051,21
652004,46453
652004,41
652004,12142
652004,49959
653247,10823
653247,126074
653247,58393
653247,126075
653247,6458
653247,126076
653247,103476
653247,34259
653247,126077
653247,23295
267860,73045
267860,73046
267860,74795
267860,1020
458594,47729
458594,126
458594,3393
282069,11848
282069,41861
282069,1778
546554,1632
546554,2531
546554,37871
71552,33
381719,5
381719,8089
381719,84792
381719,7291
381719,7584
381719,10951
381719,34
508763,30148
508763,11733
508763,5
508763,34
446894,25120
446894,174
446894,47586
416194,3079
249397,76
249397,94
280217,829
280217,2723
280217,4081
280217,8089
280217,25120
280217,174
280217,77973
176,2061
176,23019
176,55405
176,1632
129,10342
82690,6125
82690,2
348,19747
348,25
10823,6562
10823,12591
10823,5093
10823,2159
10823,52197
10823,12592
192141,2877
192141,2266
192141,66930
73861,9999
73861,16301
10195,420
10195,4
76338,420
10138,420
10138,4
429351,79529
429351,1088
429351,33681
429351,130
429351,1632
429351,101829
176983,5542
176983,50411
281338,25
281338,22213
281338,7076
339964,98007
339964,1145
339964,1246
339964,6877
339964,6896
339964,12372
339964,55244
339964,96686
339964,96687
339964,356
339964,15433
285,130
285,19936
285,2
205584,3528
205584,88715
205584,491
205584,908
205584,72441
413594,13113
399402,333
399402,103331
399402,1020
399402,112334
399402,112335
399402,20011
399402,100033
18239,491
18239,12292
18239,4000
18239,5218
18239,5219
296096,12
296096,5219
296096,21
335988,22826
335988,4
335988,435
335988,38833
335988,83645
335988,135316
335988,2598
8587,2
8587,6125
286217,1645
286217,2735
286217,6408
286217,22213
286217,28788
286217,25
433249,551
433249,113637
433249,113638
433249,46225
433249,47930
433249,93344
294254,12292
294254,3672
294254,22213
10193,3
390635,5887
390635,2883
635744,17009
635744,29185
608195,46240
608195,76991
460793,2
412383,35970
13474,491
13474,130022
11970,6125
11970,2
601980,118286
347126,79986
38055,521
38055,520
9383,5
9383,14440
9383,9269
9383,34
6947,9195
6947,12236
6947,258
72784,10427
72784,1786
72784,10039
218,41
218,1280
218,3952
218,4764
218,7745
676691,129665
228326,2787
228326,79031
228326,11749
228326,25
589885,17157
540247,86009
405965,21608
405965,41251
405965,79160
438689,11517
438689,51844
438689,7193
475215,15662
11836,4
11836,2348
11836,8921
585,3
585,2
466272,437
466272,5
466272,30148
529485,174
529485,29313
529485,22881
76757,450
76757,79
76757,444
76757,174
106646,14654
106646,4
106646,19177
106646,562
106646,23243
106646,127528
106646,6548
587693,2090
617786,81794
617786,75023
474395,2785
474395,9993
474395,429
647325,41629
647325,129527
140607,1634
140607,1
140607,11461
23827,3172
23827,21223
449756,17888
449756,130197
449756,137219
449756,11053
449756,11032
449756,9987
449756,8708
449756,4606
449756,24145
449756,112609
557968,19349
557968,71853
557968,113550
557968,19350
426543,2
426543,1557
1579,4564
1579,152
1579,9195
122,12
122,11
122,5237
553839,122161
11249,134
670266,17009
670266,2877
49530,10104
49530,508
49530,100784
693158,62319
27205,923
27205,9996
27205,174
497698,420
497698,8881
497698,133136
497698,107182
497698,31825
497698,73585
497698,8805
497698,86561
500921,104245
500921,6626
438799,11461
438799,4
532321,12569
532321,13845
576004,87327
72571,4
72571,3172
72571,21223
72571,6302
118,79
118,80
118,8601
118,55512
118,174
118,81
10283,17611
10283,4
10283,62948
619918,121459
619918,121460
606117,3958
606117,72489
606117,14772
384680,97584
384680,22842
384680,47169
7555,925
7555,1632
7555,10405
7555,20363
7555,1020
91314,22826
91314,4
91314,435
72190,3281
72190,4
72190,9169
72190,23644
72190,11956
72190,19108
72190,82819
72190,81
547012,80971
547012,129378
547012,119056
400136,13845
400136,7220
400136,11341
400136,77884
694,88
694,11272
694,174
694,734
1368,41
1368,275
1368,52941
1368,52940
291805,491
291805,1632
291805,7296
291805,72441
263472,55497
263472,85885
263472,12372
263472,22146
263472,83744
263472,63369
263472,138201
263472,138202
263472,138203
461083,34525
8355,9383
8355,11749
8355,25
538831,107123
619264,52270
619264,130875
619264,107400
619264,122144
619264,981
619264,31123
536869,10163
536869,56
536869,102580
536869,13089
536869,33
625568,52180
625568,133831
625568,290
76492,5
76492,2251
76492,34
76492,3045
76492,5388
10585,60
565179,86177
565179,2683
565179,112442
565179,18973
565179,11797
565179,24430
565179,127815
565179,11924
565179,115736
565179,20416
565179,127816
565179,114951
565179,14016
501170,174
501170,829
501170,1224
496704,17009
496704,33
348350,1
348350,2
348350,47706
348350,23
19185,13282
19185,5
324852,33
324852,6704
449562,79566
449562,21
633604,24519
633604,114796
603692,1632
603692,491
603692,3528
603692,113619
57158,174
57158,11
57158,12
57158,21
17654,559
17654,8504
17654,11
17654,8582
17654,20667
17654,2300
17654,20668
17654,11029
17654,10884
8681,11845
8681,6896
8681,1115
8681,6877
8681,6586
8681,11261
8681,23614
8681,25
8681,104
505948,101182
505948,37504
505948,55251
505948,101131
505948,107539
397567,7819
397567,103323
397567,3655
272,429
272,923
272,9993
272,9996
272,19231
272,174
539617,112397
539617,10285
504562,2297
504562,36209
593298,9965
593298,74139
47971,88943
47971,497
47971,88944
47971,83645
47971,105052
47971,3407
47971,1225
23202,923
23202,9168
23202,23784
23202,174
377,12
377,1531
625450,4022
487242,9993
487242,2785
487242,429
109439,3527
109439,923
381288,33
381288,12236
381288,3172
16304,5242
10925,469
10925,4763
10925,4764
13183,429
13183,840
13183,923
13183,174
13183,4
13183,9995
619441,62340
619441,10053
619441,9974
619441,89711
619441,67412
619441,63520
619441,981
150689,2
150689,28788
150689,46339
150689,47706
8392,10342
8392,12516
8392,12523
500475,5
500475,1885
500475,34
508965,29566
508965,101644
1930,7505
1930,326
1930,34
1930,5
466282,63484
466282,907
71672,5755
71672,491
71672,3635
45243,923
45243,2877
45243,3527
45243,174
484510,1502
484510,521
19994,2890
19994,444
411,2
411,10221
254,33
254,11
254,68
254,69
533535,420
205596,38145
205596,22146
515789,5056
515789,25954
515789,115965
311324,86433
311324,33
311324,507
311324,48873
311324,86434
311324,14714
311324,1778
311324,3341
311324,923
6466,53063
6466,12
6466,371
6466,1565
6466,21783
6466,50102
6466,17611
278927,2
278927,7297
278927,20478
9725,4
9725,16779
624808,10529
624808,132904
12244,8601
12244,7295
12244,10280
12244,2885
12244,10146
312221,12
312221,21
312221,174
312221,8880
26123,33
26123,2365
2062,3
2062,2
422803,694
422803,297
726887,137601
726887,101477
726887,11594
552532,907
552532,58
552532,138252
70006,11341
